feature_id;NS.1905.001.NEBNext_dual_i7_147---NEBNext_dual_i5_147.BS2_120;NS.1905.001.NEBNext_dual_i7_152---NEBNext_dual_i5_152.BM1_120;NS.1905.001.NEBNext_dual_i7_149---NEBNext_dual_i5_149.BS3_20;NS.1905.001.NEBNext_dual_i7_142---NEBNext_dual_i5_142.BM2_20;NS.1905.001.NEBNext_dual_i7_143---NEBNext_dual_i5_143.BM3_120;NS.1905.001.NEBNext_dual_i7_151---NEBNext_dual_i5_151.BS3_120;NS.1905.001.NEBNext_dual_i7_148---NEBNext_dual_i5_148.BM1_20;NS.1905.001.NEBNext_dual_i7_144---NEBNext_dual_i5_144.BM2_120;NS.1905.001.NEBNext_dual_i7_150---NEBNext_dual_i5_150.BS1_20;NS.1905.001.NEBNext_dual_i7_141---NEBNext_dual_i5_141.BS1_120;NS.1905.001.NEBNext_dual_i7_145---NEBNext_dual_i5_145.BM3_20;NS.1905.001.NEBNext_dual_i7_146---NEBNext_dual_i5_146.BS2_20
NMG90_20620;546;386;482;599;355;283;638;414;364;579;413;421
NMG90_01635;1;9;2;0;1;5;1;3;1;3;5;3
NMG90_20330;387;627;530;399;383;299;647;317;457;753;460;373
NMG90_05975;16928;12712;4096;4596;8748;13101;7432;14158;4328;9203;4853;7779
NMG90_09550;15;26;29;36;16;14;44;28;44;31;37;17
NMG90_03965;1501;1527;1267;1316;1009;1015;1819;1548;1435;2764;1072;1186
NMG90_01345;2062;1769;1800;1912;1457;1427;2360;1917;1810;2858;1575;1674
NMG90_10120;11087;11333;15469;13436;5855;7308;20429;8330;10728;13174;11845;7971
NMG90_01365;462;309;258;311;302;214;393;288;312;312;257;291
NMG90_10530;2282;2193;1776;1243;1254;1423;1812;1800;1643;2134;1453;1085
NMG90_14105;1663;1252;1167;1361;955;978;1697;1071;1126;1401;1198;1552
NMG90_11025;107;100;135;109;111;65;161;115;73;116;92;88
NMG90_24390;1729;1791;1652;1330;966;1130;2007;1177;1237;1756;1511;975
NMG90_15005;76014;68815;53510;70019;51030;39063;75872;66548;75245;66008;56150;108143
